found_date,metro,title,company,location,posted,source,flags,url
2026-09-17,Boston,EMI/EMC Senior Principal Engineer with Security Clearance,BAE Systems,"Nashua, Hillsborough County, New Hampshire",2026-09-01,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5864087460?se=gtzX2kOy8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=d677d981&v=0E527284246F4E5AA9F029FC1539561579365DE7
2026-09-17,Boston,EMI/EMC Senior Principal Engineer,BAE Systems,"Nashua, Hillsborough County, New Hampshire",2026-08-23,Adzuna,,https://www.adzuna.com/land/ad/5854128168?se=gtzX2kOy8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=d677d981&v=8382987A386B43A71CF5ECBE53BDF0DCA7130D83
2026-09-17,Boston,EMI/EMC/Lightning Principal Engineer with Security Clearance,BAE Systems,"Nashua, Hillsborough County, New Hampshire",2026-09-01,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5864082778?se=gtzX2kOy8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=d677d981&v=6B0897E32637D0062A75C3F3914E15BAF889155E
2026-09-17,Boston,EMI/EMC/Lightning Principal Engineer,BAE Systems,"Nashua, Hillsborough County, New Hampshire",2026-08-28,Adzuna,,https://www.adzuna.com/land/ad/5860688642?se=gtzX2kOy8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=d677d981&v=547FE3252E8848021E0113FE652AF3D643937FC0
2026-09-17,Boston,Senior Electromagnetic Environmental Effects (E3) / EMI Engineer with Security Clearance,RTX,"Marlborough, Middlesex County, Massachusetts",2026-09-01,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5864082730?se=eHaM3EOy8RGPhZDySvILTw&utm_medium=api&utm_source=d677d981&v=B4D8836EBE2AA2EF4194A2E398F9167E5503EA1F
2026-09-17,Boston,Senior Electromagnetic Environmental Effects (E3) / EMI Engineer,RTX Corporation,"Marlborough, Middlesex County, Massachusetts",2026-08-27,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5859190232?se=eHaM3EOy8RGPhZDySvILTw&utm_medium=api&utm_source=d677d981&v=E64B8D52C43DD6FDDD1CEF09EFA0F6C3CB020473
2026-09-17,Boston,Antenna and Microwave Engineer I,Raytheon,"Tewksbury, Middlesex County, Massachusetts",2026-09-04,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5870967458?se=7K443kOy8RGPhZDySvILTw&utm_medium=api&utm_source=d677d981&v=A07BE67D5AAD148F494354772DEA0C65A2726FD2
2026-09-17,Boston,Senior Principal RF Microwave Engineer with Security Clearance,BAE Systems,"Nashua, Hillsborough County, New Hampshire",2026-09-10,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5878062983?se=7K443kOy8RGPhZDySvILTw&utm_medium=api&utm_source=d677d981&v=5CB4080B86129D8CADFB36A12992220890636C54
2026-09-17,Boston,Antenna and Microwave Engineer II - Onsite with Security Clearance,RTX,"Tewksbury, Middlesex County, Massachusetts",2026-09-09,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5877935046?se=7K443kOy8RGPhZDySvILTw&utm_medium=api&utm_source=d677d981&v=DFFDFA0286BB24FF73D696C1D2817707FD5C180B
2026-09-17,Boston,Senior Principal RF Microwave Engineer,BAE Systems,"Nashua, Hillsborough County, New Hampshire",2026-09-11,Adzuna,,https://www.adzuna.com/land/ad/5879883659?se=7K443kOy8RGPhZDySvILTw&utm_medium=api&utm_source=d677d981&v=85D2FA721C77A27AB051436D34E768BB28EC999E
2026-09-17,Boston,Antenna and Microwave Engineer II - Onsite,RTX Corporation,"Tewksbury, Middlesex County, Massachusetts",2026-09-11,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5879635118?se=7K443kOy8RGPhZDySvILTw&utm_medium=api&utm_source=d677d981&v=E58EAF1D53A2BADFDE813272AD761E2EF1D7C433
2026-09-17,Boston,Antenna and Microwave Engineer II - Onsite,Pratt & Whitney,"Tewksbury, Middlesex County, Massachusetts",2026-09-02,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/details/5866519211?utm_medium=api&utm_source=d677d981
2026-09-17,Boston,Sr Principal Antenna Microwave Engineer,Raytheon,"Tewksbury, Middlesex County, Massachusetts",2026-09-16,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/details/5886473790?utm_medium=api&utm_source=d677d981
2026-09-17,Boston,Senior Principal Engineer - RF with Security Clearance,BAE Systems,"Nashua, Hillsborough County, New Hampshire",2026-09-02,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5866513841?se=7K443kOy8RGPhZDySvILTw&utm_medium=api&utm_source=d677d981&v=8BD975BF6E567991148C99B0E56C558999024D84
2026-09-17,Boston,"Product Engineer, RF/MMIC",MACOM,"Chelmsford, Middlesex County, Massachusetts",2026-08-30,Adzuna,,https://www.adzuna.com/details/5862018616?utm_medium=api&utm_source=d677d981
2026-09-17,Boston,RF Design Engineer II with Security Clearance,RTX,"Tewksbury, Middlesex County, Massachusetts",2026-08-19,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5848691724?se=7K443kOy8RGPhZDySvILTw&utm_medium=api&utm_source=d677d981&v=6870DE1999C83501D42B87A577AAA81E16B39222
2026-09-17,Boston,Senior RF Design Engineer with Security Clearance,RTX,"Tewksbury, Middlesex County, Massachusetts",2026-08-19,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5848691723?se=7K443kOy8RGPhZDySvILTw&utm_medium=api&utm_source=d677d981&v=32B043594E5F1DC0E198879A28D1C93EFCB5FF63
2026-09-17,Boston,RF Front-End PA Design Co-Op (Jan-June 2027),Skyworks,"Andover, Essex County, Massachusetts",2026-08-21,Adzuna,,https://www.adzuna.com/details/5851949512?utm_medium=api&utm_source=d677d981
2026-09-17,Boston,RF Design Co-Op (Jan-June 2027),Skyworks,"Andover, Essex County, Massachusetts",2026-08-21,Adzuna,,https://www.adzuna.com/details/5851949510?utm_medium=api&utm_source=d677d981
2026-09-17,Boston,Eng Sr Prin - RF,BAE Systems,"Nashua, Hillsborough County, New Hampshire",2026-09-11,Adzuna,,https://www.adzuna.com/details/5879749213?utm_medium=api&utm_source=d677d981
2026-09-17,Boston,Senior RF Design Engineer,RTX Corporation,"Marlborough, Middlesex County, Massachusetts",2026-08-20,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5850442179?se=7K443kOy8RGPhZDySvILTw&utm_medium=api&utm_source=d677d981&v=9DB1D63922164F372A37D9984B2DA3372005D8A3
2026-09-17,Boston,RF Design Engineer II,RTX Corporation,"Tewksbury, Middlesex County, Massachusetts",2026-08-20,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5850442190?se=7K443kOy8RGPhZDySvILTw&utm_medium=api&utm_source=d677d981&v=DAA38A1C3C8DF3A76B9A2B9282869C2D478C9650
2026-09-17,Boston,Senior Principal RF Design Engineer,RTX,"Tewksbury, Middlesex County, Massachusetts",2026-08-18,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5846173049?se=6DyE4EOy8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=d677d981&v=831B5AC6EEA4E68856940B0B5DF4F51AD721C6E4
2026-09-17,Washington DC,"Radio Frequency (RF) Engineer, Signal Processing",Battelle Memorial Institute,"Chantilly, Fairfax County, Virginia",2026-08-27,Adzuna,,https://www.adzuna.com/details/5859060235?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,Principal RF/DSP Engineer,AeroVironment,"Leesburg, Loudoun County, Virginia",2026-08-28,Adzuna,,https://www.adzuna.com/details/5859439133?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,RF/Microwave Engineer,"Herrick Technology Laboratories, Inc.","Germantown, Montgomery County, Maryland",2026-08-25,Adzuna,,https://www.adzuna.com/land/ad/5855405489?se=6g5H70Oy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=2EDDF5E9CB4A0AE91E3E7B337F7DAD799EE98291
2026-09-17,Washington DC,Senior RF and Antennas System Engineer,CACI,"Fairfax, Fairfax County, Virginia",2026-09-16,Adzuna,,https://www.adzuna.com/land/ad/5886232916?se=6g5H70Oy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=E0CEA332A1AE670AD81A1F8693F95F5ED794DDE2
2026-09-17,Washington DC,RF and Antennas Systems Engineer,CACI International,"Sterling, Loudoun County, Virginia",2026-08-25,Adzuna,,https://www.adzuna.com/details/5856144416?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,"RF Systems Analysis Engineer, Regulatory (Starlink)",spacex,"Washington, DC",2026-09-01,Greenhouse/spacex,,https://boards.greenhouse.io/spacex/jobs/8691059002?gh_jid=8691059002
2026-09-17,SF Bay Area,Sr. RF Front-End Module Design Engineer (RFIC Engineering),spacex,"Sunnyvale, CA",2026-09-01,Greenhouse/spacex,,https://boards.greenhouse.io/spacex/jobs/8562302002?gh_jid=8562302002
2026-09-17,Washington DC,"Sr. RF Systems Analysis Engineer, Regulatory (Starlink)",spacex,"Washington, DC",2026-09-01,Greenhouse/spacex,,https://boards.greenhouse.io/spacex/jobs/8687990002?gh_jid=8687990002
2026-09-17,SF Bay Area,"Sr. Signal Integrity Engineer - Serdes, Satellites (Starlink)",spacex,"Palo Alto, CA",2026-09-01,Greenhouse/spacex,,https://boards.greenhouse.io/spacex/jobs/8627692002?gh_jid=8627692002
